doc_num,positive,other,neutral,negative
0,0.5928925105503627,0.20394617744854515,0.15444875455328394,0.04871255032984268
1,0.704760125705174,0.15013992679970603,0.10014162611748487,0.04495831638840687
2,0.6275929361581802,0.18116649053990838,0.14144596395393208,0.049794607989800434
3,0.6079069574673971,0.22586013687153658,0.114815616980195,0.051417293027043294
4,0.5466966032981873,0.2522029764950275,0.15283881127834315,0.04826162883546198
5,0.5640775050435748,0.2609447884772505,0.1099427323788404,0.06503499272678576
6,0.5487612299621105,0.2656491529196501,0.11347336508333679,0.0721162646077573
7,0.4449199821267809,0.3106965848377773,0.167692339846066,0.07669109585029732
8,0.5878613335745675,0.21367946958967615,0.11350509417908528,0.08495408665787958
9,0.6052475310862064,0.22148999292403454,0.11532420455478128,0.0579382836585864
10,0.6406035721302032,0.204772477703435,0.09196543148053539,0.06265854010624541
11,0.5282605588436127,0.26567491842433805,0.12898460100404913,0.07707990868948394
12,0.5064746849238873,0.24291373789310453,0.17647943738847968,0.07413213187828656
13,0.5565023422241211,0.251772828400135,0.10691390768624838,0.08481091819703575
14,0.6268003769218922,0.20691600907593963,0.105870948289521,0.06041266600368539
15,0.5963346532412938,0.23699465713330675,0.10223473635103017,0.06443593810711583
16,0.5136123411357403,0.24262110237032172,0.16159949777647847,0.08216705481754612
17,0.5051850626866022,0.2541012975076834,0.15115585302313161,0.08955778616170086
18,0.48784686412130085,0.26459009306771414,0.14747014641761777,0.10009292087384629
19,0.5264380744525364,0.2619385932173047,0.1289991912032876,0.08262413846594942
20,0.5420884825289249,0.26533160544931883,0.11317247012630101,0.07940742536447938
21,0.5945112258195877,0.18958853767253453,0.13264430616982276,0.0832559139525983
22,0.6385142107804617,0.18041385927548004,0.11945634971683218,0.06161558480622865
23,0.6297749876976013,0.1838528891759259,0.11507083741681912,0.07130127080849234
24,0.5697784807000841,0.2154148955430303,0.14996129034885336,0.06484532070213127
25,0.5868713728019169,0.225441644766501,0.11972341313958164,0.06796356037791282
26,0.5950230062007904,0.20225443265267778,0.12158415892294472,0.08113840169140266
27,0.5176137132304055,0.27115331590175623,0.12491932245237483,0.08631363085338041
28,0.5584439379828317,0.26501783089978354,0.1053214243480137,0.07121681980788701
29,0.5749190549055735,0.24077129612366355,0.12272266484796995,0.06158698474367455
30,0.547132874528567,0.21243399381637565,0.17114571668207637,0.06928742506230866
