doc_num,pred,NEGATIVE,POSITIVE
0,0.75,0.244915013575,0.7550849875000001
1,0.6,0.39923082156,0.60076917488
2,1.0,0.0034610150500000002,0.996538985
3,0.6,0.3978351764,0.60216483048
4,0.8,0.20200175780000001,0.797998228
5,0.6666666666666666,0.33186917853333336,0.6681308535333333
6,0.6,0.40576828716,0.59423170398
7,0.5,0.4947003607166667,0.5052996528333333
8,0.5,0.44539512,0.5546049084666667
9,0.6666666666666666,0.33284245228333337,0.6671575431666666
10,1.0,0.007581743325,0.99241824
11,0.75,0.2515378992,0.7484620846500001
12,0.6,0.39921318072,0.60078680432
13,1.0,0.005223075475,0.99477691
14,0.75,0.248489363425,0.75151063825
15,0.75,0.250933425975,0.74906657005
16,0.5,0.49738973794999997,0.502610233975
17,1.0,0.002620730125,0.9973792525
18,0.6,0.39874744732,0.60125254986
19,0.75,0.24125646882500001,0.7587435425
20,0.6666666666666666,0.33366739119999994,0.66633261375
21,0.8333333333333334,0.16834118148333332,0.8316587956666667
22,0.8,0.20082727864,0.79917270728
23,0.6,0.4031326729,0.5968673332
24,0.6,0.38751443444,0.61248556344
25,0.4,0.58961926132,0.41038074282
26,0.75,0.25067459799999997,0.7493253872500001
27,1.0,0.0017388010200000002,0.998261214
28,0.5,0.4965998520166666,0.5034001305
29,0.4,0.59719331026,0.40280668846
30,1.0,0.00231310865,0.997686885
31,0.75,0.243370544725,0.7566294475
32,0.75,0.2514510729,0.748548921925
33,0.75,0.13656592697499997,0.863434085
34,0.4,0.59381454992,0.40618546596
35,1.0,0.0023306888249999998,0.9976693249999999
36,0.6,0.39967581204,0.60032418836
37,1.0,0.0015615138500000001,0.9984384925
38,0.75,0.249676990625,0.7503230374250001
39,0.8,0.20008916628000004,0.79991083346
40,0.4,0.59767996312,0.4023200285
41,0.8,0.22635726983999999,0.7736427530600001
42,0.5,0.491460787375,0.508539219625
43,0.6,0.39707309672,0.6029268988800001
44,0.6,0.41467677066,0.58532323308
45,1.0,0.00320830365,0.99679169
46,1.0,0.014330407925,0.9856696125
47,0.75,0.250188027025,0.749811953925
48,0.6666666666666666,0.33378333908333335,0.6662166903833333
49,0.6,0.39829838034,0.60170162714
50,0.4,0.58842610732,0.411573879
51,0.8,0.19890992016,0.8010900888
52,0.6,0.39126377204,0.608736215
