doc_num,pred,NEGATIVE,POSITIVE
0,1.0,0.016959174599999998,0.9830408566666667
1,0.3333333333333333,0.6639215942333333,0.33607839300000003
2,0.5,0.56722916,0.4327708935
3,0.5,0.5058883865,0.4941116575
4,0.5,0.5043238235,0.4956761545
5,0.0,0.97470457,0.02529539675
6,0.0,0.94329625,0.05670371825
7,0.5,0.725476765,0.2745232525
8,0.5,0.4940038343,0.505996171
9,0.3333333333333333,0.6650421449,0.33495786240000003
10,0.5,0.49202817225,0.507971815
11,0.5,0.48805636415,0.51194364
12,0.3333333333333333,0.6638837160333333,0.33611628686666667
13,0.5,0.46410717,0.5358928375
14,0.5,0.49903882499999996,0.5009611487
15,0.5,0.4986122555,0.50138779225
16,1.0,0.01258480435,0.98741517
17,0.6666666666666666,0.3242620298,0.6757379846666667
18,0.5,0.4989452365,0.5010547559999999
19,0.5,0.49286558874999997,0.5071344114999999
20,0.3333333333333333,0.6615766827,0.33842330733333337
21,0.6666666666666666,0.33164878226666666,0.6683511826666667
22,1.0,0.0012753491666666666,0.9987246633333333
23,0.3333333333333333,0.5950991145333333,0.40490087366666666
24,1.0,0.00775392635,0.9922461
25,0.0,0.9928469133333334,0.007153060133333333
26,1.0,0.01040245885,0.98959756
27,1.0,0.0040913921,0.9959086200000001
28,0.5,0.49495798950000003,0.5050420065
29,0.3333333333333333,0.6632626279333333,0.33673739426666666
30,0.6666666666666666,0.33155764036666663,0.668442345
31,1.0,0.00483613135,0.99516388
32,0.6666666666666666,0.3354548541,0.664545135
33,0.5,0.49717255870000004,0.5028274357
34,0.3333333333333333,0.7596796933333333,0.2403203178
35,1.0,0.0017533529999999998,0.99824665
36,0.5,0.4953668792,0.504633166
37,0.6666666666666666,0.32083712563333333,0.6791628666666667
38,0.5,0.49564114564999995,0.504358845
39,1.0,0.0017061717499999999,0.9982938800000001
40,0.0,0.986131,0.013868985833333333
41,0.5,0.49331177065,0.5066882105
42,0.5,0.34318035750000003,0.656819645
43,0.5,0.503619235,0.49638079575
44,0.3333333333333333,0.6633031449666666,0.3366968518
